model,mode_type,realcat-predcat, realdog-predcat,realcat-preddog,realdog-preddog
models/cat_dog_classification_with_aug_color_organized_model.hdf5,train,76,11,13,71
models/cat_dog_classification_with_aug_color_organized_model.hdf5,val,28,10,11,28
models/cat_dog_classification_with_aug_color_organized_model.hdf5,test,19,6,6,20
models/cat_dog_classification_with_aug_color_organized_model.hdf5,train,76,11,13,71
models/cat_dog_classification_with_aug_color_organized_model.hdf5,val,28,10,11,28
models/cat_dog_classification_with_aug_color_organized_model.hdf5,test,19,6,6,20
models/cat_dog_classification_with_aug_color_organized_model.hdf5,train,74,15,15,67
models/cat_dog_classification_with_aug_color_organized_model.hdf5,val,28,12,11,26
models/cat_dog_classification_with_aug_color_organized_model.hdf5,test,18,8,7,18
models/cat_dog_classification_with_aug_color_organized_model.hdf5,train,76,11,13,71
models/cat_dog_classification_with_aug_color_organized_model.hdf5,val,28,10,11,28
models/cat_dog_classification_with_aug_color_organized_model.hdf5,test,19,6,6,20
models/cat_dog_classification_with_aug_color_organized_model.hdf5,train,64,16,25,66
models/cat_dog_classification_with_aug_color_organized_model.hdf5,val,25,7,14,31
models/cat_dog_classification_with_aug_color_organized_model.hdf5,test,17,4,8,22
models/cat_dog_classfication_with_aug_color_model.hdf5,train,64,11,25,71
models/cat_dog_classfication_with_aug_color_model.hdf5,val,24,11,14,27
models/cat_dog_classfication_with_aug_color_model.hdf5,test,17,4,8,22
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,train,35,7,54,77
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,val,17,6,22,33
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,test,8,2,17,24
models/cat_dog_classification_with_aug_color_organized_model.hdf5,train,53,21,36,63
models/cat_dog_classification_with_aug_color_organized_model.hdf5,val,25,9,14,30
models/cat_dog_classification_with_aug_color_organized_model.hdf5,test,14,5,11,21
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,train,53,0,36,84
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,val,17,8,22,31
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,test,11,3,14,23
models/cat_dog_classification_with_aug_color_organized_model.hdf5,train,64,16,25,68
models/cat_dog_classification_with_aug_color_organized_model.hdf5,val,24,11,15,28
models/cat_dog_classification_with_aug_color_organized_model.hdf5,test,15,9,10,17
models/cat_dog_classification_with_aug_color_organized_model.hdf5,train,53,0,36,84
models/cat_dog_classification_with_aug_color_organized_model.hdf5,val,17,8,22,31
models/cat_dog_classification_with_aug_color_organized_model.hdf5,test,11,3,14,23
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,train,85,6,4,79
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,val,34,19,5,21
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,test,23,14,2,12
models/cat_dog_classification_with_aug_color_organized_model.hdf5,train,60,27,29,58
models/cat_dog_classification_with_aug_color_organized_model.hdf5,val,29,15,10,25
models/cat_dog_classification_with_aug_color_organized_model.hdf5,test,18,13,7,13
models/cat_dog_classification_with_aug_color_organized_model.hdf5,train,85,6,4,79
models/cat_dog_classification_with_aug_color_organized_model.hdf5,val,34,19,5,21
models/cat_dog_classification_with_aug_color_organized_model.hdf5,test,23,14,2,12
models/cat_dog_classification_with_aug_color_organized_model.hdf5,train,61,16,28,69
models/cat_dog_classification_with_aug_color_organized_model.hdf5,val,24,7,15,33
models/cat_dog_classification_with_aug_color_organized_model.hdf5,test,17,4,8,22
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,train,57,1,32,84
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,val,19,11,20,29
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,test,16,6,9,20
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,train,34,6,55,79
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,val,12,3,27,37
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,test,6,0,19,26
models/cat_dog_classification_with_aug_color_organized_model.hdf5,train,41,10,48,75
models/cat_dog_classification_with_aug_color_organized_model.hdf5,val,16,4,23,36
models/cat_dog_classification_with_aug_color_organized_model.hdf5,test,8,3,17,23
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,train,54,15,35,70
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,val,19,8,20,32
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,test,15,4,10,22
models/cat_dog_classification_with_aug_color_organized_model.hdf5,train,65,37,24,48
models/cat_dog_classification_with_aug_color_organized_model.hdf5,val,26,14,13,26
models/cat_dog_classification_with_aug_color_organized_model.hdf5,test,15,10,10,16
models/cat_dog_classification_end_without_aug_color_organized_model.hdf5,train,87,2,2,83
models/cat_dog_classification_end_without_aug_color_organized_model.hdf5,val,23,22,16,18
models/cat_dog_classification_end_without_aug_color_organized_model.hdf5,test,15,11,10,15
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,train,53,5,36,80
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,val,17,12,22,28
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,test,12,5,13,21
models/cat_dog_classification_with_aug_color_organized_model.hdf5,train,78,7,11,78
models/cat_dog_classification_with_aug_color_organized_model.hdf5,val,29,15,10,25
models/cat_dog_classification_with_aug_color_organized_model.hdf5,test,20,15,5,11
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,train,89,0,0,85
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,val,27,14,12,26
models/cat_dog_classification_end_with_aug_color_organized_model.hdf5,test,17,12,8,14
models/cat_dog_classification_end_without_aug_color_organized_model.hdf5,train,89,0,0,86
models/cat_dog_classification_end_without_aug_color_organized_model.hdf5,val,27,13,12,28
models/cat_dog_classification_end_without_aug_color_organized_model.hdf5,test,18,5,7,20
models/cat_dog_classification_without_aug_color_organized_model.hdf5,train,88,0,1,86
models/cat_dog_classification_without_aug_color_organized_model.hdf5,val,25,12,14,29
models/cat_dog_classification_without_aug_color_organized_model.hdf5,test,15,2,10,23
